route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
21648,MARTA,58,Hollywood Road / Lucile Avenue,,3,https://itsmarta.com/58.aspx,A6CAF0,000000
21649,MARTA,60,Hightower Road,,3,https://itsmarta.com/60.aspx,00FFFF,000000
21650,MARTA,66,Lynhurst Drive / Princeton Lakes,,3,https://itsmarta.com/66.aspx,00FFFF,000000
21651,MARTA,68,Benjamin E Mays Drive,,3,https://itsmarta.com/68.aspx,FF0000,000000
21652,MARTA,71,Cascade Road,,3,https://itsmarta.com/71.aspx,FF8080,000000
21653,MARTA,73,Fulton Industrial,,3,https://itsmarta.com/73.aspx,008000,000000
21654,MARTA,74,Flat Shoals Road,,3,https://itsmarta.com/74.aspx,FF8000,000000
21655,MARTA,75,Lawrenceville Highway,,3,https://itsmarta.com/75.aspx,00FF00,000000
21656,MARTA,78,Cleveland Avenue,,3,https://itsmarta.com/78.aspx,00FF00,000000
21657,MARTA,79,Sylvan Hills,,3,https://itsmarta.com/79.aspx,FF8000,000000
21658,MARTA,81,Venetian Hills / Delowe Drive,,3,https://itsmarta.com/81.aspx,00FF00,000000
21659,MARTA,82,Camp Creek / South Fulton Parkway,,3,https://itsmarta.com/82.aspx,008000,000000
21660,MARTA,83,Campbellton Road,,3,https://itsmarta.com/83.aspx,00FF00,000000
21661,MARTA,84,Washington Rd/Camp Crk Marketplace,,3,https://itsmarta.com/84.aspx,00FFFF,000000
21662,MARTA,85,Roswell,,3,https://itsmarta.com/85.aspx,008000,000000
21663,MARTA,86,Fairington Road,,3,https://itsmarta.com/86.aspx,A6CAF0,000000
21664,MARTA,87,Roswell Road / Sandy Springs,,3,https://itsmarta.com/87.aspx,00FFFF,000000
21665,MARTA,89,Old National Highway,,3,https://itsmarta.com/89.aspx,FF8040,000000
21666,MARTA,93,Headland Drive / Main Street,,3,https://itsmarta.com/93.aspx,00FFFF,000000
21667,MARTA,94,Northside Drive,,3,https://itsmarta.com/94.aspx,008000,000000
21668,MARTA,95,Metropolitan Parkway,,3,https://itsmarta.com/95.aspx,FF0000,000000
21669,MARTA,102,North Avenue / Little Five Points,,3,https://itsmarta.com/102.aspx,00FF00,000000
21670,MARTA,103,Peeler Road,,3,https://itsmarta.com/103.aspx,00FFFF,000000
21671,MARTA,104,Winters Chapel Road,,3,https://itsmarta.com/104.aspx,00FFFF,000000
21672,MARTA,107,Glenwood,,3,https://itsmarta.com/107.aspx,008000,000000
21673,MARTA,110,Peachtree Road / Buckhead,,3,https://itsmarta.com/110.aspx,FF8040,000000
21674,MARTA,111,Snapfinger Woods,,3,https://itsmarta.com/111.aspx,008000,000000
21675,MARTA,114,Columbia Drive,,3,https://itsmarta.com/114.aspx,FF8040,000000
21676,MARTA,115,Covington Highway,,3,https://itsmarta.com/115.aspx,00FF00,000000
21677,MARTA,116,Redan Road,,3,https://itsmarta.com/116.aspx,00FFFF,000000
21678,MARTA,117,Rockbridge Road / Panola Road,,3,https://itsmarta.com/117.aspx,00FF00,000000
21679,MARTA,119,Hairston Road / Stone Mtn Village,,3,https://itsmarta.com/119.aspx,008080,000000
21680,MARTA,120,East Ponce De Leon Avenue,,3,https://itsmarta.com/120.aspx,FF00FF,000000
21681,MARTA,121,Memorial Drive / N Hairston Road,,3,https://itsmarta.com/121.aspx,00FFFF,000000
21682,MARTA,123,Church Street,,3,https://itsmarta.com/123.aspx,00FF00,000000
21683,MARTA,124,Pleasantdale Road,,3,https://itsmarta.com/124.aspx,FF00FF,000000
21684,MARTA,125,Clarkston,,3,https://itsmarta.com/125.aspx,008000,000000
21685,MARTA,126,Embry Hills,,3,https://itsmarta.com/126.aspx,008000,000000
21686,MARTA,132,Tilly Mill Road,,3,https://itsmarta.com/132.aspx,FF00FF,000000
21687,MARTA,133,Shallowford Road,,3,https://itsmarta.com/133.aspx,FFFF00,000000
21688,MARTA,140,North Point Parkway,,3,https://itsmarta.com/140.aspx,FF8000,000000
21689,MARTA,141,Haynes Bridge Road / Milton,,3,https://itsmarta.com/141.aspx,FF00FF,000000
21690,MARTA,142,East Holcomb Bridge Road,,3,https://itsmarta.com/142.aspx,FF00FF,000000
21691,MARTA,143,Windward Park & Ride,,3,https://itsmarta.com/143.aspx,00FFFF,000000
21692,MARTA,148,Mount Vernon Highway,,3,https://itsmarta.com/148.aspx,00FF00,000000
21693,MARTA,150,Dunwoody Village,,3,https://itsmarta.com/150.aspx,00FFFF,000000
21694,MARTA,153,James Jackson Parkway,,3,https://itsmarta.com/153.aspx,FF8000,000000
21695,MARTA,155,Pittsburgh,,3,https://itsmarta.com/155.aspx,00FFFF,000000
21696,MARTA,162,Myrtle Drive / Alison Court,,3,https://itsmarta.com/162.aspx,008080,000000
21697,MARTA,165,Fairburn Road,,3,https://itsmarta.com/165.aspx,00FFFF,000000
21698,MARTA,172,Sylvan Road / Virginia Avenue,,3,https://itsmarta.com/172.aspx,FF8040,000000
21699,MARTA,178,Empire Blvd / Southside Ind Park,,3,https://itsmarta.com/178.aspx,00FFFF,000000
21700,MARTA,180,Roosevelt Highway,,3,https://itsmarta.com/180.aspx,FF00FF,000000
21701,MARTA,181,Washington Road / Fairburn,,3,https://itsmarta.com/181.aspx,FF8040,000000
21702,MARTA,183,Greenbriar,,3,https://itsmarta.com/183.aspx,008000,000000
21703,MARTA,185,Alpharetta,,3,https://itsmarta.com/185.aspx,FF8000,000000
21704,MARTA,186,Rainbow Drive / South DeKalb,,3,https://itsmarta.com/186.aspx,00FF00,000000
21705,MARTA,188,Oakley Industrial,,3,https://itsmarta.com/188.aspx,FF00FF,000000
21706,MARTA,189,Flat Shoals Road / Scofield Road,,3,https://itsmarta.com/189.aspx,FF00FF,000000
21707,MARTA,191,Riverdale / ATL Intl Terminal,,3,https://itsmarta.com/191.aspx,FF00FF,000000
21708,MARTA,192,Old Dixie / Tara Boulevard,,3,https://itsmarta.com/192.aspx,008000,000000
21709,MARTA,193,Morrow / Jonesboro,,3,https://itsmarta.com/193.aspx,008080,000000
21710,MARTA,194,Conley Road / Mt Zion,,3,https://itsmarta.com/194.aspx,008000,000000
21711,MARTA,195,Forest Parkway,,3,https://itsmarta.com/195.aspx,FF00FF,000000
21712,MARTA,196,Upper Riverdale,,3,https://itsmarta.com/196.aspx,00FFFF,000000
21713,MARTA,197,Battle Creek Road,,3,https://itsmarta.com/197.aspx,FF00FF,000000
21714,MARTA,198,Southlake Parkway,,3,https://itsmarta.com/198.aspx,00FF00,000000
21715,MARTA,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,000000
21716,MARTA,221,Memorial Drive Limited,,3,https://itsmarta.com/221.aspx,FF00FF,000000
21717,MARTA,295,Metropolitan Campus Express,,3,https://itsmarta.com/295.aspx,008000,000000
21727,MARTA,800,Lovejoy,,3,https://itsmarta.com/800.aspx,00FF00,000000
21728,MARTA,809,Monroe Drive / Boulevard,,3,https://itsmarta.com/809.aspx,FF0000,000000
21729,MARTA,813,Atlanta University Center,,3,https://itsmarta.com/813.aspx,00FFFF,000000
21730,MARTA,816,North Highland Avenue,,3,https://itsmarta.com/816.aspx,00FFFF,000000
21731,MARTA,823,Belvedere,,3,https://itsmarta.com/823.aspx,00FF00,000000
21732,MARTA,825,Johnson Ferry Road,,3,https://itsmarta.com/825.aspx,FF0000,000000
21733,MARTA,832,Grant Park,,3,https://itsmarta.com/832.aspx,00FF00,000000
21734,MARTA,850,Carroll Heights / Fairburn Heights,,3,https://itsmarta.com/850.aspx,FF00FF,000000
21735,MARTA,853,Center Hill,,3,https://itsmarta.com/853.aspx,A6CAF0,000000
21736,MARTA,856,Baker Hills / Wilson Mill Meadows,,3,https://itsmarta.com/856.aspx,FF8040,000000
21737,MARTA,865,Boulder Park Drive,,3,https://itsmarta.com/865.aspx,00FF00,000000
21738,MARTA,867,Peyton Forest / Dixie Hills,,3,https://itsmarta.com/867.aspx,00FFFF,000000
21739,MARTA,899,Old Fourth Ward,,3,https://itsmarta.com/899.aspx,FF00FF,000000
21741,MARTA,ATLSC,Atlanta Streetcar,,0,https://itsmarta.com/Atlanta-Street-Car-Info.aspx,FF00FF,000000
21743,MARTA,BLUE,BLUE,,1,https://itsmarta.com/Blue-Line.aspx,0075B2,000000
21744,MARTA,GOLD,GOLD,,1,https://itsmarta.com/Gold-Line.aspx,D4A723,000000
21745,MARTA,GREEN,GREEN,,1,https://itsmarta.com/Green-Line.aspx,009D4B,000000
21746,MARTA,RED,RED,,1,https://itsmarta.com/Red-Line.aspx,CE242B,000000
